RunId,social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,gumbel_plus_mean,gumbel_plus_std,gumbel_minus_mean,gumbel_minus_std,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
64,2.3424593405798078,18.662310321815312,11.718831863254309,0.2537267805077136,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,140.4,140.6,13.4,3.7
65,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.14296859009191396,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,145.6,146.0,6.9,2.0
66,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.2082825681194662,0.3375135370716453,0.651062932247296,0.9962826447561384,148.2,148.8,10.8,2.2
67,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.499575402289629,0.651062932247296,0.9962826447561384,147.9,147.9,14.8,4.1
68,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.8695318886637688,0.9962826447561384,146.8,146.9,14.0,4.7
69,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.7407060520350933,146.6,146.7,10.4,2.7
70,2.3424593405798078,11.642358545213938,0.0531165162101388,0.2537267805077136,0.14296859009191396,1.2082825681194662,0.499575402289629,0.8695318886637688,0.7407060520350933,123.8,125.2,30.3,8.1
71,2.820704998448491,18.662310321815312,0.0531165162101388,0.2537267805077136,0.14296859009191396,1.2082825681194662,0.499575402289629,0.8695318886637688,0.7407060520350933,145.8,148.1,40.7,14.6
72,2.820704998448491,11.642358545213938,11.718831863254309,0.2537267805077136,0.14296859009191396,1.2082825681194662,0.499575402289629,0.8695318886637688,0.7407060520350933,100.9,101.3,2.8,1.1
73,2.820704998448491,11.642358545213938,0.0531165162101388,0.8522265980020166,0.14296859009191396,1.2082825681194662,0.499575402289629,0.8695318886637688,0.7407060520350933,135.2,137.8,33.5,12.3
74,2.820704998448491,11.642358545213938,0.0531165162101388,0.2537267805077136,0.35067752851173284,1.2082825681194662,0.499575402289629,0.8695318886637688,0.7407060520350933,125.9,126.4,51.1,14.5
75,2.820704998448491,11.642358545213938,0.0531165162101388,0.2537267805077136,0.14296859009191396,1.3618512948043646,0.499575402289629,0.8695318886637688,0.7407060520350933,116.5,118.2,27.9,7.5
