Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
13,23,30,26,33,25,22,24,13,16,23,20,28,42,21,19,15,19,29,46,19,23,65,20,26,31,49,16,18,18
13,23,30,26,33,25,22,24,13,16,23,21,28,43,21,19,15,19,29,46,19,23,65,20,26,31,49,16,19,19
14,23,30,26,33,25,22,24,14,16,23,21,28,43,21,19,15,20,29,47,19,24,65,20,26,31,49,16,19,19
17,23,30,26,33,26,22,24,14,16,23,21,28,43,21,19,15,20,29,47,19,24,65,20,26,31,49,16,19,19
18,23,30,26,33,27,22,24,14,16,23,21,28,43,21,19,15,20,29,47,19,24,65,20,26,31,49,16,19,19
21,23,30,26,33,28,22,26,15,16,23,21,28,43,22,19,15,20,29,47,19,25,65,20,26,31,49,16,20,19
21,23,30,27,33,28,22,26,15,16,23,21,28,43,22,20,15,20,29,48,19,26,65,20,27,31,49,16,21,19
22,24,30,27,33,28,22,26,15,16,23,21,28,44,22,20,15,20,29,48,19,26,65,20,27,31,49,16,21,19
22,24,30,27,33,28,22,26,15,16,25,21,28,45,22,21,15,20,29,48,20,26,65,20,27,31,49,16,21,19
23,24,30,27,33,28,22,26,15,16,25,21,28,45,23,21,15,20,29,48,20,26,65,20,27,31,49,16,21,19
23,24,31,27,33,28,22,26,15,16,25,21,29,46,23,21,15,20,29,48,20,26,65,20,27,31,49,16,21,19
23,24,31,27,33,28,23,26,15,16,25,21,29,46,25,21,15,20,30,48,20,26,65,20,27,31,49,16,21,19
24,24,31,28,33,28,24,26,15,17,25,21,29,46,26,21,15,20,30,48,21,26,65,20,27,31,49,17,21,19
26,25,31,29,33,28,24,27,15,18,25,21,29,47,26,21,15,20,30,48,21,26,65,20,27,32,49,17,21,19
26,25,31,29,33,28,24,27,15,19,25,21,29,47,26,21,15,20,30,48,21,26,65,20,27,33,50,17,21,19
26,25,31,29,33,29,24,28,15,19,25,21,30,47,26,21,16,20,30,48,21,27,65,20,27,33,50,17,21,19
27,25,32,29,33,29,24,28,15,19,25,22,30,47,26,22,16,20,30,48,21,27,65,20,28,33,50,17,21,19
27,26,32,29,34,29,24,28,15,22,26,22,30,47,26,22,16,20,30,48,21,27,66,20,28,33,50,17,21,19
27,26,32,30,34,29,24,28,15,24,26,22,30,47,26,22,16,20,30,48,21,28,66,20,28,33,50,19,21,19
28,26,32,30,34,29,24,28,16,24,26,24,30,47,26,22,17,20,30,48,21,28,66,20,28,33,50,19,21,19
28,26,32,30,34,29,24,28,16,24,26,24,30,47,27,22,17,20,30,48,21,29,66,20,28,33,50,19,21,19
28,26,32,31,34,29,24,28,16,25,26,24,30,47,27,22,17,20,30,48,21,29,66,20,28,33,50,19,21,19
28,26,32,31,34,29,25,28,16,26,26,24,30,47,27,23,17,20,30,48,21,29,66,20,28,33,50,19,21,19
28,26,32,32,34,29,25,28,16,26,27,24,30,47,27,23,17,20,30,48,21,29,66,20,28,33,50,19,21,19
28,27,32,32,34,30,25,28,16,27,27,24,30,48,27,23,17,20,30,48,21,29,66,21,28,33,50,19,21,19
28,27,32,32,34,30,25,28,16,27,27,24,30,48,27,23,17,20,30,48,21,29,66,21,28,33,50,19,21,19
28,27,33,32,34,30,25,28,17,28,27,24,31,48,27,24,18,21,30,48,21,29,66,21,28,33,50,19,21,19
28,27,33,32,35,30,25,28,17,28,27,24,32,48,27,24,18,22,30,48,21,29,66,21,28,34,50,20,21,19
28,27,33,32,35,30,25,28,17,28,27,24,33,48,27,24,18,22,30,48,21,29,66,21,28,34,51,20,22,19
28,27,34,32,35,30,25,29,17,28,27,24,33,48,27,24,18,22,30,48,21,29,66,21,28,34,52,20,22,19
28,27,36,32,35,30,25,29,18,28,27,24,33,48,27,24,18,22,30,48,21,29,66,21,28,34,52,20,22,19
