Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
59,55,123,43,53,58,55,65,60,65,84,81,49,70,94,63,96,59,58,96,59,63,67,60,57,78,60,69,65,68
60,55,123,44,53,59,56,66,60,65,86,82,49,71,94,63,97,59,58,96,59,64,69,61,57,78,60,69,65,68
60,55,123,45,54,59,56,66,60,66,87,82,50,71,97,63,98,59,58,97,60,64,69,62,57,78,61,69,66,70
60,56,123,45,54,60,56,69,60,66,87,82,50,71,98,63,98,59,59,97,61,65,69,63,57,78,61,70,66,70
62,57,123,45,55,61,57,69,61,68,88,82,50,71,100,64,98,60,59,97,62,66,69,63,57,78,61,70,66,70
62,59,123,45,56,62,57,71,61,68,88,83,51,71,102,65,100,60,59,97,62,67,70,64,58,79,61,70,66,71
63,61,123,48,57,62,58,71,62,68,88,83,52,72,102,66,100,60,59,97,62,67,70,65,59,81,62,70,66,71
63,61,123,48,57,63,59,71,62,70,89,84,52,73,102,66,101,61,60,98,62,68,70,68,59,82,62,70,66,71
63,64,123,48,57,67,59,72,62,70,90,84,53,73,103,67,101,62,61,98,62,68,70,69,59,82,63,71,66,71
64,65,123,48,58,67,59,72,62,70,90,84,54,73,103,69,103,63,61,99,64,69,71,69,59,82,63,71,66,73
64,65,123,50,58,67,59,74,63,72,92,84,54,73,103,69,103,63,62,99,64,69,71,69,59,82,64,71,66,73
64,65,123,54,59,68,60,75,64,72,92,84,54,74,103,70,103,63,63,100,64,69,72,70,61,82,64,71,66,73
65,66,123,56,59,68,60,75,64,73,92,85,54,75,103,70,104,63,64,100,64,69,72,70,62,82,64,71,66,73
65,66,123,59,59,68,62,75,64,73,92,85,54,76,104,71,104,63,64,101,64,69,72,71,62,82,65,74,66,74
65,66,123,63,59,68,62,77,65,73,92,85,55,76,104,72,104,64,66,101,65,69,72,71,63,82,65,75,66,74
67,67,123,65,59,69,62,77,65,74,92,85,55,76,105,73,104,64,66,102,66,69,73,71,64,83,65,75,67,75
68,67,124,65,59,69,62,77,65,74,92,86,55,76,105,75,104,64,66,102,66,69,74,72,64,83,65,75,68,75
68,67,124,66,60,69,62,77,66,74,92,87,55,76,105,75,104,66,66,102,66,70,74,72,64,84,66,75,68,76
68,67,124,68,61,70,62,78,66,74,92,88,55,79,105,75,105,67,66,102,67,71,75,72,64,87,67,75,69,76
68,68,124,69,62,70,62,78,66,74,92,88,55,80,105,76,105,67,66,103,69,72,75,73,64,89,68,77,70,77
69,68,124,69,62,72,64,78,66,77,92,88,55,82,105,77,106,67,66,103,70,73,75,73,64,89,68,78,70,78
69,69,125,70,63,72,65,78,66,78,92,88,55,82,105,77,106,67,66,104,70,73,76,73,65,89,68,78,70,79
72,69,125,72,63,73,67,78,68,78,92,89,55,82,105,78,106,69,66,104,70,73,76,73,65,89,69,78,70,79
72,69,125,73,63,75,67,78,68,79,92,89,58,83,105,78,106,69,66,104,74,74,76,74,65,89,69,78,70,79
72,69,125,75,63,75,67,78,68,80,92,91,58,83,105,78,106,69,66,105,76,74,76,76,66,90,69,78,71,80
72,69,125,76,63,75,67,78,69,81,92,91,58,83,105,78,106,69,67,105,76,76,76,77,67,90,69,78,71,81
72,70,125,78,63,75,68,78,71,83,92,91,58,83,105,79,106,70,68,105,76,76,77,77,68,90,69,78,72,81
72,70,125,79,63,75,69,79,71,83,92,91,58,84,105,79,106,70,69,106,78,78,77,77,70,90,70,79,72,81
72,70,125,80,63,75,70,79,71,84,92,91,58,85,105,79,106,71,69,106,79,78,77,77,72,90,71,79,73,81
74,72,125,82,63,76,70,79,71,84,92,91,60,85,105,80,106,71,69,107,81,79,77,77,72,92,72,79,76,81
74,72,125,83,63,76,70,79,71,84,93,91,61,85,106,81,106,72,69,107,81,79,77,77,73,92,72,79,76,81
76,72,125,86,63,76,70,80,71,84,93,92,61,85,106,81,106,72,69,108,81,79,77,77,73,93,72,79,76,82
76,72,126,87,64,76,70,81,71,84,93,92,62,85,106,81,106,73,69,108,81,79,77,77,73,93,72,79,76,82
76,73,126,87,66,78,70,81,71,84,93,92,64,85,106,82,106,74,69,109,81,79,79,77,74,93,73,79,76,82
76,73,126,88,66,78,70,81,71,85,93,92,64,86,106,82,106,74,69,109,81,80,80,77,74,93,73,80,76,82
76,73,126,88,66,78,70,81,71,85,93,92,64,86,106,82,108,76,69,109,81,81,80,77,74,93,75,81,76,82
76,73,126,89,67,80,70,81,71,85,93,92,64,87,106,82,108,76,69,109,81,81,80,78,74,93,76,82,76,82
77,73,126,90,68,80,72,82,71,85,93,92,66,87,106,82,109,76,70,109,81,81,80,78,74,93,76,82,76,82
77,73,126,90,68,80,72,82,71,85,93,93,68,87,106,82,109,76,71,109,81,81,81,78,74,93,76,82,78,83
79,73,126,91,68,80,72,82,72,85,93,93,69,87,107,82,110,78,71,109,81,81,81,78,74,93,76,83,80,83
79,74,126,91,68,80,72,84,72,85,94,93,69,88,107,82,110,79,73,109,82,81,81,78,74,95,77,83,81,83
79,75,126,91,68,80,73,85,72,85,94,94,69,88,107,82,110,79,73,109,82,82,81,78,74,95,77,83,82,83
79,75,126,91,68,81,73,85,72,85,95,94,69,90,107,82,111,81,73,110,82,83,82,78,74,95,77,84,82,84
80,76,126,92,69,82,73,85,73,85,95,94,69,91,108,82,111,82,74,110,82,84,82,78,75,95,79,84,82,85
80,77,126,92,69,82,73,86,74,86,95,95,70,91,108,83,112,82,75,110,82,84,82,78,75,95,79,84,82,85
81,77,126,92,69,82,74,86,74,87,95,96,70,91,108,83,112,82,75,112,82,84,83,79,75,95,80,84,83,85
82,77,126,92,70,83,74,86,74,87,96,96,70,91,108,84,112,82,75,112,82,84,84,79,75,95,80,84,83,85
82,77,126,92,70,83,76,86,76,88,96,97,70,91,108,85,112,82,76,112,82,84,84,79,75,95,80,85,83,85
82,79,126,92,70,83,76,86,76,90,96,97,70,92,109,85,112,83,78,112,82,84,84,81,76,95,80,85,83,85
82,79,127,92,70,83,76,86,76,91,96,97,70,92,109,85,112,83,79,112,83,85,84,81,76,95,80,85,84,86
